ID	GSM53276	GSM53277	GSM53278	GSM53279	GSM53280	GSM53281	GSM53282	GSM53283	GSM53274	GSM53268	GSM53269	GSM53270	GSM53271	GSM53272	GSM53273	GSM53275
Rps29	15.9540105768402	15.8711105014589	16.307253107805	16.1628002733637	16.1628002733637	15.7295058421064	16.1144143912287	16.277417853975	16.277417853975	16.0396324039803	16.0102857012895	15.9540105768402	15.9188820399109	16.0396324039803	16.1144143912287	16.0396324039803
Aldoa	16.0880130326694	16.1421659570501	16.0880130326694	16.1144143912287	15.8347612434479	16.1628002733637	15.9540105768402	16.2007686172823	16.1144143912287	16.0102857012895	16.1628002733637	16.0880130326694	15.8994537835615	16.0880130326694	16.2007686172823	16.0701468587459
Sparc	15.8711105014589	16.0701468587459	16.0102857012895	16.1794690164182	16.1421659570501	15.9540105768402	16.1628002733637	15.7738927369567	16.2539334794878	16.3492120974532	16.2007686172823	16.307253107805	16.2539334794878	16.3492120974532	16.1794690164182	16.1144143912287
Tuba1a	16.2007686172823	16.2539334794878	16.1144143912287	16.0396324039803	16.0701468587459	16.0701468587459	16.277417853975	16.1421659570501	16.0880130326694	16.2299634264772	16.0701468587459	16.1144143912287	15.9835085760208	16.1421659570501	15.8994537835615	16.2007686172823
Plp1	16.1421659570501	16.1144143912287	16.277417853975	16.3492120974532	16.2007686172823	16.2539334794878	16.1794690164182	16.1144143912287	16.2299634264772	16.0701468587459	16.2299634264772	16.2299634264772	16.3838507547648	16.1144143912287	16.0701468587459	16.1421659570501
Tuba1b	16.0396324039803	16.0396324039803	15.9835085760208	15.8994537835615	15.9835085760208	16.1144143912287	16.0701468587459	16.0701468587459	16.0701468587459	15.9835085760208	16.0396324039803	16.0701468587459	16.0102857012895	15.9835085760208	16.0102857012895	16.1794690164182
Ckb	15.8994537835615	15.9188820399109	15.9540105768402	16.0102857012895	15.8994537835615	16.0102857012895	15.7941429164097	16.0396324039803	15.9540105768402	15.8347612434479	15.7941429164097	15.9835085760208	16.1144143912287	15.9188820399109	16.1628002733637	15.7466781571048
Nrgn	15.4955745018613	15.5466534942325	15.6795507852469	15.6147835991175	15.5576046961526	15.6795507852469	15.5694535721686	15.4123609882711	15.7295058421064	15.5192906255601	15.6314421594716	15.7466781571048	15.7941429164097	15.6449658400019	15.7738927369567	15.5466534942325
Atp6v0c	16.1628002733637	16.0880130326694	15.9188820399109	15.9835085760208	16.1144143912287	16.2007686172823	15.8994537835615	15.9540105768402	15.8711105014589	15.8994537835615	15.8347612434479	15.9188820399109	16.0701468587459	15.8347612434479	15.9188820399109	15.7738927369567
Ywhab	15.8347612434479	15.8994537835615	15.8994537835615	15.9540105768402	15.9188820399109	15.6314421594716	15.9835085760208	16.0102857012895	16.0102857012895	15.9188820399109	15.9835085760208	15.8994537835615	15.8347612434479	16.0102857012895	15.9540105768402	15.9188820399109
Ywhaz	16.0102857012895	16.0102857012895	15.7295058421064	15.8347612434479	16.0880130326694	16.1421659570501	15.8711105014589	15.6449658400019	15.4955745018613	15.8711105014589	15.7738927369567	15.8347612434479	16.0396324039803	15.9540105768402	15.7466781571048	15.5986861078674
