GSM53274	GSM53276	GSM53277	GSM53278	GSM53279	GSM53280	GSM53281	GSM53282	GSM53283	GSM53275	GSM53268	GSM53269	GSM53270	GSM53271	GSM53272	GSM53273
Plp1	16.1970640856365	16.1077547739371	16.1077547739371	16.2848933445325	16.3287496945324	16.1824793187056	16.2487157860783	16.1824793187056	16.1361940624295	16.1361940624295	16.0556935991748	16.2078043743296	16.2487157860783	16.3562193892803	16.069297944127	16.0556935991748
Tuba1b	16.0425407715727	16.0425407715727	16.069297944127	15.9581006463128	15.9413712246601	15.9989301833131	16.1077547739371	16.069297944127	16.0556935991748	16.1616661115369	15.9712681027312	16.0425407715727	16.0974252184843	16.0556935991748	15.9849986215288	16.0146721214127
Ckb	15.9413712246601	15.9581006463128	15.9152921631056	15.9266552191962	16.0556935991748	15.9266552191962	15.9989301833131	15.7457272946919	16.0425407715727	15.7364921774238	15.8153324753981	15.8306797328994	15.9712681027312	16.1242877789913	15.9152921631056	16.1824793187056
Nrgn	15.7167631920307	15.5055654855863	15.5628063949745	15.7043050147384	15.6443611824187	15.5209201824651	15.6923341048294	15.5628063949745	15.4043519291231	15.5132601750667	15.4996411889157	15.5984311444638	15.7043050147384	15.7876932101547	15.5984311444638	15.7719691081397
Atp6v0c	15.8153324753981	16.1242877789913	16.0974252184843	15.9152921631056	16.0425407715727	16.1242877789913	16.220612060078	15.8606190017691	15.9712681027312	15.7457272946919	15.8843607400167	15.8451283152462	15.9266552191962	16.0974252184843	15.8153324753981	15.9266552191962
Ywhab	15.9849986215288	15.9019446879832	15.8713472980738	15.9019446879832	15.9849986215288	15.9413712246601	15.6531490671056	15.9581006463128	16.0146721214127	15.8451283152462	15.9019446879832	15.9266552191962	15.9152921631056	15.8024395852399	15.9989301833131	15.9581006463128
Ywhaz	15.5286443749256	16.0289048211596	16.0425407715727	15.7457272946919	15.8451283152462	16.1077547739371	16.1242877789913	15.8306797328994	15.6837334329834	15.5898179046282	15.8713472980738	15.8153324753981	15.8306797328994	16.0853911519053	15.9266552191962	15.7557219502634
Hsp90ab1	15.8843607400167	15.9712681027312	15.8306797328994	16.0146721214127	15.9581006463128	15.9152921631056	15.8606190017691	16.0556935991748	15.9581006463128	15.8306797328994	15.9581006463128	15.7719691081397	15.8024395852399	15.7364921774238	15.7719691081397	15.6092581331297
Thy1	15.7249280681179	15.6259897060134	15.6092581331297	15.7876932101547	15.7557219502634	15.4221193823889	15.7249280681179	15.6443611824187	15.9019446879832	15.9413712246601	15.6652014707524	15.8713472980738	15.8153324753981	15.7249280681179	15.7557219502634	15.9019446879832
Cox6a1	15.675167721969	15.6652014707524	15.6259897060134	15.7719691081397	15.7249280681179	15.7457272946919	15.4594280058189	15.6092581331297	15.7364921774238	15.3987481820764	15.6092581331297	15.6443611824187	15.5984311444638	15.6923341048294	15.6345151421691	15.6259897060134
Sparcl1	15.8024395852399	15.7249280681179	15.7557219502634	15.8606190017691	15.7876932101547	15.7557219502634	15.9712681027312	15.8713472980738	15.7249280681179	15.7557219502634	15.7167631920307	15.8843607400167	15.8843607400167	15.8606190017691	15.7364921774238	15.8713472980738
ND1	15.5805641860227	15.5628063949745	15.4445756396962	15.5628063949745	15.5628063949745	15.3442303116754	15.4996411889157	15.8024395852399	15.6652014707524	15.8153324753981	15.7876932101547	15.9019446879832	16.0146721214127	15.9989301833131	15.8843607400167	15.4996411889157
